142.;Schweinemedaillons à la Chef;mit Wein-Sauce gedünstet;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
143.;Jägerschnitzel;;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
144.;Zigeunerschnitzel;;12,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
145.;Rinderfilet in Pfeffersauce;;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
146.;Rinderfilet mit Folienkartoffel;;22,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
147.;Rumpsteak;mit gebratenen Zwiebeln und Folienkartoffel mit Zazik;19,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
148.;Putenbrustfilet;in Currysauce paniert, weißer Reis;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
149.;Putenbrustfilet;in Rahmsauce8 mit frischen Champignons;16,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
150.;Schweinefilet;in Rahmsauce mit frischen Champignons;15,00;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
151.;Schnitzel;paniert, nach Wiener Art;9,50;Gerichte aus der Pfanne;gemischter Salat, Reis, Pommes oder Kroketten
160.;Lammfleisch;mit grünen Bohnen;14,00;Gerichte aus dem Backofen;gemischter Salat
161.;Lammfleisch;mit Zwiebeln;14,00;Gerichte aus dem Backofen;gemischter Salat
162.;Lammfleisch;mit großen weißen Bohnen;14,00;Gerichte aus dem Backofen;gemischter Salat
163.;Lammfleisch;mit Auberginen;14,00;Gerichte aus dem Backofen;gemischter Salat
164.;Lammfleisch;mit Bamies;14,00;Gerichte aus dem Backofen;gemischter Salat
165.;Lammfleisch;mit Spaghetti;14,00;Gerichte aus dem Backofen;gemischter Salat
166.;Lammfleisch;mit griechischen Nudeln;14,00;Gerichte aus dem Backofen;gemischter Salat
167.;Lammfleisch;mit Pommes frites;14,00;Gerichte aus dem Backofen;gemischter Salat
168.;Lammhaxe;mit Kartoffeln (nur auf Vorbestellung);15,00;Gerichte aus dem Backofen;gemischter Salat
169.;Mousaka;Auflaufgericht mit Hackfleisch, Auberginen und Kartoffeln;12,00;Gerichte aus dem Backofen;gemischter Salat
180.;Sardinen;gebacken, mit Cocktailsauce;12,00;Fischgerichte;gemischter Salat, Reis oder Pommes
181.;Kalamaris;gebraten, mit Cocktailsauce;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
